,Job_Title,Salary,Company_Name,Location,Category,Subcategory,Skills,Links,Above avg.,Base pay,Career level,Company size,Contract type,Date posted,Description,Desired education level,Estimated,Industry,Job mode,Occupation,Sector,Work Authorisation,Work type
0,ICT Business Analyst/Data Specialist,100000.0,INTERSURGICAL AUSTRALIA PTY LIMITED,Matraville NSW 2036,Information Technology (IT),Business/Systems Analysts (IT),"['COMMUNICATION', 'DATA ANALYTICS', 'DATA COLLECTION', 'ISO', 'MANAGEMENT', 'PRICING', 'SYSTEMS DEVELOPMENT', 'TECHNICAL SUPPORT', 'WRITTEN AND VERBAL']",https://www.careerone.com.au/jobview/ict-business-analystdata-specialist/f457be2f-07ee-4a76-9ac6-c8bd2981e9aa,,,Senior (Experienced Non-Manager),1 to 10,Permanent,28 Oct 2019,"Company Profile: Intersurgical is a leading designer, manufacturer and supplier of a wide range of medical devices for respiratory support. Our company provides flexible patient solutions for airway management, anaesthesia, critical care, and oxygen & aerosol therapy primarily for use within the hospital environment but also in the home. We are currently looking for a ICT Business Analyst/Data Specialist for our growing business, Full-Time. The Business Analyst will be responsible for defining improvements to business processes, gathering information and analysing the company’s business intentions, services, processes and information needs to identify changes that lead to business improvements. This is a multifunctional role focused around formulating system requirements, data maintenance and processes. Key responsibilities of this position: Carry out analysis to define configuration specifications and business technological requirementsDevelop and implement best practices and processes for improved system methods as per health industry best practices.Formulate and implement systems for the management of product data and pricing in relation to the NPC (Healthcare National Product Catalogue) ensuring both products & pricing are accurately published.Formulate the systems and process of integration of Fishbowl Software with various inhouse systems for streamlining the Intersurgical Australia business practices.Develop and implement databases, data collection systems, data analytics and other strategies that optimize statistical efficiency and quality for external stakeholders such as the TGA, GS1 NSW Health, HPV and all other major National Healthcare providersRun system tests to monitor performance and ensure optimum quality as per ISO 9001 standardsPrepare training documentation for users as well as organize formal sessions and seminarsMaintain an up-to-date knowledge of IT, business processes and relevant health industry arena.Use process and data modelling techniques to develop and manage system softwareUtilize IT resources to create IT solutions effective in meeting the requirements of an organizationOffer recommendations to upper management on ways to maximize profits by improving systems processesMaintain accurate records of relevant technical and business informationCommunicate with users to obtain feedback and assist in resolving issuesConduct research to identify ways to improve systems performance and efficiencyOversee the budget preparation and planning of resources for a projectMonitor systems development processes to ensure successful project completion. Experience required: Bachelor’s Degree in relevant Stream with minimum two years of relevant experience orOverall Five years of relevant experience; We’re looking for someone who; Can coordinate the information systems, applications and technical support functions, including documentation and improvement processes.Has appropriate knowledge of Science/Pharmacy or equivalent knowledge through training, application or experience.High level of professionalism with great organisational and strong analytical skills who’s committed to a team approachAdaptable, strong problem-solving skills and able to communicate and learn new tasks quickly, with high level attention to detailWork on major projects with little to no supervision.Knowledge of the Australian healthcare environment and healthcare system an advantageGood written and verbal communication skills with the ability to communicate professionally and technically with both internal and external stakeholders.Willingness to work in a small team environment and provide support in any capacityFriendly collaborative approach and a desire to succeed   Salary Offered: $60,000 to $75,000 + Super; Full-Time Position We place great importance on being an employer of choice and offer excellent career opportunities including a very competitive salary. Please email us with your resume, if you want to be a part of a great working culture.",,"$100,000",Health Care Equipment & Supplies,Standard/Business Hours,Business/Systems Analysts (IT),Private Business,Australian Citizen/Permanent Resident,Full Time
1,Data Center Operations Technician,90000.0,Google Inc.,Sydney NSW,"Manufacturing, Production & Operations","Other (Manufacturing, Production & Operations)","['DATA CENTER', 'DATA CENTER OPERATIONS', 'DEPLOYMENT', 'LINUX', 'NETWORKING', 'OPERATIONS', 'STRUCTURED SOFTWARE', 'SYSTEMS ADMINISTRATION']",https://www.careerone.com.au/jobview/data-center-operations-technician/d94a727e-56c6-45a5-8684-566759b6eb72,"$80,000 - $100,000",,,,Permanent,23 Oct 2019,"Google Australia Pty LTD. Opening date for applications: 23rd October 2019 Closing date for applications: 22nd November 2019 Salary Range: $80,000 - $100,000 AUD   Minimum qualifications: 5 years of experience working with and troubleshooting hardware/network-related issues using Linux based tools.Technical experience in network and/or Linux system administration, web, or software development.Ability to lift/move 50 lbs of equipment as required. Preferred qualifications: Experience in end-to-end ownership of issues and execution of small and medium-sized projects.Demonstrated knowledge of Linux environment and experience as administrator.Demonstrated networking knowledge and comfortable in troubleshooting network issues. Familiarity with main protocols and common types of devices and data transmission media.Understanding of PC hardware and comfortable in troubleshooting and repairing servers.Ability to self manage and accomplish tasks with minimal supervision. Google isn't just a software company. The Hardware Operations team is responsible for monitoring the state-of-the-art physical infrastructure behind Google's powerful search technology. As an Operations Technician, you'll install, configure, test, troubleshoot and maintain hardware (like servers and its components) and server software (like Google's Linux cluster). You'll also take on the configuration of more complex components such as networks, routers, hubs, bridges, switches and networking protocols. You'll participate in or lead small project teams on larger installations and develop project contingency plans. A typical day involves manual movement and installation of racks, and while it can sometimes be physically demanding, you are excited to work with infrastructure that is at the cutting-edge of computer technology. In this role, duties range from the physical deployment of data center-related technology to working closely with various stakeholders. In this role, you will ensure that our goals, missions and projects are successfully delivered, and more importantly, that they are repeatable across our global array of data centers. This position offers a great introduction to the wider engineering world at Google. The Data Center team designs and operates some of the most sophisticated electrical and HVAC systems in the world. We are a diverse, upbeat, creative, team-oriented group of engineers committed to building and operating powerful data centers. Install new servers, switches, routers and other networking gear.Help to test and troubleshoot new server/network hardware components.Configure and troubleshoot Linux OS-related issues.Resolve issues with broken equipment with little to no escalation.Cover on-call responsibilities as needed.",,,,Standard/Business Hours,"Other (Manufacturing, Production & Operations)",,Australian Citizen/Permanent Resident,Full Time
2,Relocate to Wellington: Professor in Statistics and Data Science,170500.0,Victoria University of Wellington,Sydney NSW 2000,"Education, Training & Childcare",Teacher - Tertiary,"['DATA SCIENCE', 'EQUAL EMPLOYMENT OPPORTUNITY', 'LEADERSHIP', 'STATISTICS', 'TEACHING']",https://www.careerone.com.au/jobview/relocate-to-wellington-professor-in-statistics-and-data-science/b52a816b-a7a0-45b5-a09a-a73247a78a63,,,,,Permanent,22 Oct 2019,"Wellington, New Zealand We seek a dynamic academic with a strong record of research in one or more branches of statistics and data science to provide academic leadership in one of New Zealand's most respected and innovative mathematical sciences Schools. The successful applicant will play a leading role in the development of the University's programmes and its standing in statistics and data science. The Statistics/Data Science group is well connected within the University, supporting opportunities to work with colleagues in biological, physical, health, social, earth and information sciences, engineering, business and the humanities. It also sustains strong connections with employers and researchers in the government, private and not-for-profit sectors, enabling work placements for students in our programmes. The appointee will undertake undergraduate and postgraduate teaching in statistics and data science. They will promote learning among students with a wide range of mathematical backgrounds. They will undertake supervision of postgraduate research students on both theoretical and applied topics, including students in the workplace seeking to advance their qualifications. They will maintain a research programme of international standard, in keeping with the University's emphasis on high-quality scholarship and will contribute to building on the University's engagement with stakeholders, including through externally funded research. The University is committed to building a diverse workforce and the School encourages applicants who are women, Māori, Pasifika and from other groups under-represented in the STEM sector. For further information please contact Ivy Liu, Head of School, School of Mathematics and Statistics ([email protected]) Applications close Friday, 15 November 2019. Victoria University of Wellington is an EEO employer and actively seeks to meet its obligations under the Treaty of Waitangi. For more information and to apply online visit http://www.victoria.ac.nz/about/careers/current-vacancies Reference 1000098.",,"$129,000 - $212,000",,Standard/Business Hours,Teacher - Tertiary,,Australian Citizen/Permanent Resident,Full Time
3,Senior Data Engineer,162500.0,Michael Page Technology,Melbourne VIC,Information Technology (IT),IT Management & Senior Leadership,"['AMAZON KINESIS', 'AWS', 'DATA SOURCES', 'DATA TRANSFORMATION', 'DATASETS', 'DMS', 'EMR', 'ETL', 'INFORMATICA', 'JAVA', 'LEADERSHIP', 'MANAGEMENT', 'OPERATIONS', 'PROCESS IMPROVEMENTS', 'ROOT CAUSE ANALYSIS', 'SCALA', 'SQL']",https://www.careerone.com.au/jobview/senior-data-engineer/55e8efc6-7577-4d9a-9556-e7b5c9aa9a03,,"$150,000 - $175,000",Senior (Experienced Non-Manager),,Permanent,28 Oct 2019,"Are you an experienced Data Engineer that is looking to step up your career into one of the best tech start-ups across Melbourne? Client Details With high cultural standards and a team-work based, and highly collaborative structure, this business understands what tech superstars need to be successful. Gaining constant exposure to the latest tech and working with one of the most advanced AWS shops going around, you will get the opportunity to progress your career while also build your tech stack into a marketing-lead and cutting edge force. Description In order to succeed in the day-to-day tasks of this role, you will need the following:  Ability to lead change with customers Focus on delivery and outcomes Delivery sprint tasks within the sprint Identify, design, and implement internal process improvements: automating manual processes, optimizing data delivery, re-designing infrastructure for greater scalability, etc. Continually strive toward optimal extraction, transformation, loading and management of data from a wide variety of data sources using SQL and AWS ‘big data’ technologies Has the experience to authentically tell the customer when something is an anti-pattern or will fail Can design Data Patterns for re-use and re-implementation (factory based approach) Workshops and agree technical approaches with team members and customers Can work in an enterprise-type environment and demonstrate the expected controls and processes adherence. Understand traditional and emerging data pipeline delivery as well as CI and CD processes Lead and mentor Data engineers  Profile As a Senior Data Engineer, your profile will ideally be:  From a development or operations background (or an existing DataOps Team) Advanced working SQL knowledge and experience working with relational databases, query authoring (SQL) as well as working familiarity with a variety of databases. Experience building and optimizing ‘big data’ data pipelines, architectures and data sets. Experience performing root cause analysis on internal and external data and processes to answer specific business questions and identify opportunities for improvement. Strong analytic skills related to working with unstructured datasets. Build processes supporting data transformation, data structures, metadata, dependency and workload management. A successful history of manipulating, processing and extracting value from large disconnected datasets. Working knowledge of message queuing, stream processing, and highly scalable ‘big data’ data stores Have experience with the AWS ecosystem (particularity Kinesis, Glue, Redshift, EMR, RDS, Aurora, DMS, etc…) Have some experience with industry leading ETL tools, Informatica, Talend, Snowflake Familiar with data modelling concepts Advanced experience in one or many of the following programming languages – SQL, Python, Java, SCALA etc  Job Offer  Attractive salary package Unparalleled Tech stack Career progression runway to grow your leadership potential Tech Start-up culture with T-shirt and sneakers (BYO motorised scooter...)  To apply online please click the 'Apply' button below. For a confidential discussion about this role please contact Tim Dillon on +61 3 9607 5628.",,,,Standard/Business Hours,IT Management & Senior Leadership,,Australian Citizen/Permanent Resident,Full Time
4,Data Analyst/Modeller x 4,162000.0,Hays Information Technology,Canberra ACT,Information Technology (IT),IT Management & Senior Leadership,"['API', 'DATA ANALYST', 'DATA ANALYTICS', 'DATA WAREHOUSING', 'MANAGEMENT', 'SQL', 'TRANSLATING']",https://www.careerone.com.au/jobview/data-analystmodeller-x-4/89588972-2096-4eec-8d68-d07c4b27d057,,,,,Contract,28 Oct 2019," Data Analyst/Modeller x 4 initial contract to June 30 2020 + 3 month extension Data Warehousing integration and reporting project  Data Modelling - SQL - Management Studio - API's - Data Integration - Data Analytics Your new companyYou will be working for a large Federal Government Department. Your new roleAs the Data Modeller/Analyst you will be developing data models and analyzing data from different source systems to ensure the solutions that are created are inline with the departments future data and analytics requirements. You will also be assessing different systems to ensure they can be integrated into the new environment. What you'll need to succeed  Experience in Data Modelling (conceptual, logical and physical) Experience in analysing source system data Experience with SQL and Management studio Experience gathering requirement from stakeholders and translating them into technical solutions You must be an Australian citizen and will possess or be willing to go through the process to obtain and maintain a (Baseline, NV1 or NV2) personnel security clearance.  What you'll get in returnThe chance to work on a large scale data project and an initial contract to June 30 with a 3 month extension is on offer. What you need to do nowIf you're interested in this role, click 'apply now' to forward an up-to-date copy of your CV. Call Liam O'Meara on 02 62579802 or email [email protected] for any questions relating to this role.",,"$112,000 - $212,000",,Standard/Business Hours,IT Management & Senior Leadership,,Australian Citizen/Permanent Resident,Full Time
5,Data Entry | Temporary,52500.0,Page Personnel Office Support,Sydney NSW,Administration & Office Support,Data Entry,"['COMMUNICATION', 'MICROSOFT WORD']",https://www.careerone.com.au/jobview/data-entry-temporary/6a54c3e7-4627-4aee-8aa6-94338a479272,,"$50,000 - $55,000",,,Contract,28 Oct 2019,"A great opportunity to join a market leading Insurance company who are seeking a Data Entry Clerk. Client Details A global Insurance company located in Parramatta who have a passion for helping people and giving excellent customer service. Description  Processing a high volume of data Invoicing Phone management Maintenance of the front area Maintaining files and documentation Following policies and procedures Liaising with staff, and other stakeholders  Profile  Prior experiencing working in a similar role High attention to detail High level of verbal and written communication skills Exceptional interpersonal skills Advanced Microsoft Word and Excel skills High level of confidentiality  Job Offer  Work close to home Flexible work hours Career progression  To apply online please click the 'Apply' button below. For a confidential discussion about this role please contact Sophia Rotos on +61 2 8046 0818",,,,Standard/Business Hours,Data Entry,,Australian Citizen/Permanent Resident,Full Time
6,Data Administrator,60000.0,Kelly Services,Perth WA,Administration & Office Support,Administration Assistants,['ACCURATE DATA ENTRY'],https://www.careerone.com.au/jobview/data-administrator/5910fcc3-3db7-4470-a5c9-4ff589ec4955,,,,,Contract,28 Oct 2019,"Data Administrator Kelly Services are a world-wide leader in both blue and white-collar staff solutions. Currently we have a fantastic short-term opportunity to work with one of our clients within the Aged care industry. The Role  Based in the Eastern suburbs, this full-time 3-4-week assignment commences immediately. You will be responsible for reviewing and updating data and running reports as required. Skills and experience To be considered for this role you must have:  immediate availability Proficiency in Procura - ESSENTIAL Accurate Data Entry Ability to work autonomously Excellent attention to detail  To Apply If you are interested in this position and have the experience required, please apply online. Only online applications will be considered. If you have any questions before applying online, please call Katherine Stevens on 08 9229 1811 All applications will be treated in the strictest of confidence. You can also sign up for job alerts on our website to keep up to date with our current vacancies www.kellyservices.com.au Kelly Services is a Fortune 500 company, operating in more than 30 countries and territories worldwide, with 25 years history in Australia and located in every major city nationwide. We deliver staffing solutions across temporary assignments, permanent placements, outsourced recruitment and HR consulting. Our core service lines include Commercial, Industrial, Trades, Engineering, Financial and Scientific resources divisions.",,"$50,000 - $70,000",,Standard/Business Hours,Administration Assistants,,Australian Citizen/Permanent Resident,Full Time
7,Business Development Director | Data Centre & Cloud Migration,192500.0,Sales HQ,Sydney NSW,Sales,Sales Manager/Director & Senior Leadership,"['B2B SALES', 'BUSINESS DEVELOPMENT', 'LEADERSHIP', 'SALES']",https://www.careerone.com.au/jobview/business-development-director-data-centre-cloud-migration/bfae6128-8c88-4564-b0be-399c977ec6b4,,,,,Permanent,28 Oct 2019,"Benefits  Lucrative salary and uncapped commissions ($400K+ OTE) Work with a market leading IT consultancy with a focus in data centre and cloud This is a national role that will give you autonomy to smash targets Great opportunity to work in a challenging sales role and expand your skillset Exciting opportunity for career progression as the business grows  Requirements  Motivated to exceed targets and expectations Tenacious, hungry and driven at all times Prepared to put in extra hours to succeed Interested and current on technology trends Charismatic and engaging Highly skilled in active listening, communication, presentation and negotiation Well versed in the business benefits of IT strategy and implementation services Must have experience in cloud migration selling services to enterprise clients Strategic thinker who can devise in-depth solution propositions 10 years+ experience in B2B sales with sales leadership experience Have a strong existing network within Enterprise, Commercial and Government sectors  Responsibilities This is a hunter role focused on generating and developing new business. You will create, own, manage and execute local sales strategy. You will engage with vendors and identify and drive new strategic partnerships. You must understand each target client's business model, map their organisation and identify their unique technology needs. You will manage senior client relationships up to CIO/CTO level.  For this role, the right candidate can expect a base salary between $180,000 to $200,000 with an OTE of $360,000 to $400,000. Company This company is a boutique IT consultancy that specialises in strategy and transformation of data centres and workspaces. They take pride in being independent, customer centric, nimble and niche. They want someone who not only will add to the company with their experience but also someone to who will add to their culture and live out their values.  They are currently hiring as a result of proven success, growth and consistent high performance. This company has a 20+ years track record of success globally and continously reinvent themselves whereby they constantly stay ahead of the curve with regards to technology.  If you are interested then APPLY NOW or CALL Marco on 0414 048 008 for a confidential chat.",,"$135,000 - $250,000+",,Standard/Business Hours,Sales Manager/Director & Senior Leadership,,Australian Citizen/Permanent Resident,Full Time
8,Platform Engineer - Data,101000.0,s2m Digital,Mascot NSW 2020,Information Technology (IT),Software Engineering,"['AWS', 'DATA WAREHOUSING', 'ETL', 'TEAM BUILDING']",https://www.careerone.com.au/jobview/platform-engineer-data/b1bf0c59-ef8c-44c7-9dec-ebc493a7ed1b,,,,,Permanent,28 Oct 2019,"Play with the latest data toolsASX listed global giantGreat location, top notch benefits A global, dynamic company, that still has the heart of a startup operating in a flexible and agile manner.  Join the team building a cutting edge data platform and contribute to one of the major forces driving innovation in the space.  You’ll do –  Work in an agile environment building the platform on AWS Use you passion for data to help speed up the platform delivery Learn as you go and explore new avenues to drive efficiency Make contributions to a group of top performers Find solution to pressing new challenges   You’ll have –  Experience in building modern Data Platforms (prefer experience in AWS or equivalent cloud environments) Developing and maintaining data pipelines and data integration solutions Data Warehousing and ETL concepts An agile mindset and is eager to make a big impact early Understands and has experience in building a CI/CD pipelines An appreciation for Data Security, Privacy and Access controls   If this sounds like you and you are excited to push your career further please reach out to Omar on 02 8396 6800",,"$100,000 - $102,000",,Standard/Business Hours,Software Engineering,,Australian Citizen/Permanent Resident,Full Time
9,Data Coordinator,60000.0,Hays Office Support,East Ryde NSW 2113,Administration & Office Support,Administration Assistants,"['MICROSOFT EXCEL', 'MICROSOFT OUTLOOK', 'SELF MOTIVATED']",https://www.careerone.com.au/jobview/data-coordinator/89269682-43e2-4a38-9328-c99b8efd8b8e,,,,,Contract,28 Oct 2019," Technical Administrator FMCG Organisation Macquarie Park  Immediate start for dynamic technical administrator Macquarie Park location Your new companyA leader in the retail industry has a fantastic opportunity for a Technical Database Administrator in their promotions department with an immediate start. Your new roleIn order to be successful in the job you will need to demonstrate the following:  Entering and updating a high volume of promotional data on a daily basis which is distributed nationally Pricing analysis and reporting using M/S Excel to an advanced level including vlookups and macros Investigate and resolve queries quickly and efficiently Manage Outlook email inbox Ensuring all team and company deadlines in relation to pricing and reporting are met  What you'll need to succeedTo be successful in this role, you will have a high attention to detail and be able to process large amounts of data quickly and accurately. Due to the technical analysis and reporting you will also need advanced, working knowledge of Microsoft Excel including v-look-ups and macros. You will also need to be a self-motivated individual who can manage their own time and prioritise tasks. This is a fast paced environment so a background in FMCG or similar industry would be a distinct advantage. What you'll get in returnThis is an excellent opportunity to work in a large, corporate organisation with good team culture as well as additional benefits such as on site gym facilities and restaurant. This role is temporary and will provide an ongoing opportunity for the right candidate. Close to public transport links and free, onsite, parking. What you need to do nowIf you're interested in this role, click 'apply now' to forward an up-to-date copy of your CV to [email protected] SA Licence number : LHS 297508",,"$50,000 - $70,000",,Standard/Business Hours,Administration Assistants,,Australian Citizen/Permanent Resident,Full Time
