,Job_Title,Salary,Company_Name,Location,Category,Subcategory,Skills,Links
0,ICT Business Analyst/Data Specialist,100000.0,INTERSURGICAL AUSTRALIA PTY LIMITED,Matraville NSW 2036,Information Technology (IT),Business/Systems Analysts (IT),"['COMMUNICATION', 'DATA ANALYTICS', 'DATA COLLECTION', 'ISO', 'MANAGEMENT', 'PRICING', 'SYSTEMS DEVELOPMENT', 'TECHNICAL SUPPORT', 'WRITTEN AND VERBAL']",https://www.careerone.com.au/jobview/ict-business-analystdata-specialist/f457be2f-07ee-4a76-9ac6-c8bd2981e9aa
1,Data Center Operations Technician,90000.0,Google Inc.,Sydney NSW,"Manufacturing, Production & Operations","Other (Manufacturing, Production & Operations)","['DATA CENTER', 'DATA CENTER OPERATIONS', 'DEPLOYMENT', 'LINUX', 'NETWORKING', 'OPERATIONS', 'STRUCTURED SOFTWARE', 'SYSTEMS ADMINISTRATION']",https://www.careerone.com.au/jobview/data-center-operations-technician/d94a727e-56c6-45a5-8684-566759b6eb72
2,Relocate to Wellington: Professor in Statistics and Data Science,170500.0,Victoria University of Wellington,Sydney NSW 2000,"Education, Training & Childcare",Teacher - Tertiary,"['DATA SCIENCE', 'EQUAL EMPLOYMENT OPPORTUNITY', 'LEADERSHIP', 'STATISTICS', 'TEACHING']",https://www.careerone.com.au/jobview/relocate-to-wellington-professor-in-statistics-and-data-science/b52a816b-a7a0-45b5-a09a-a73247a78a63
3,Senior Data Engineer,162500.0,Michael Page Technology,Melbourne VIC,Information Technology (IT),IT Management & Senior Leadership,"['AMAZON KINESIS', 'AWS', 'DATA SOURCES', 'DATA TRANSFORMATION', 'DATASETS', 'DMS', 'EMR', 'ETL', 'INFORMATICA', 'JAVA', 'LEADERSHIP', 'MANAGEMENT', 'OPERATIONS', 'PROCESS IMPROVEMENTS', 'ROOT CAUSE ANALYSIS', 'SCALA', 'SQL']",https://www.careerone.com.au/jobview/senior-data-engineer/55e8efc6-7577-4d9a-9556-e7b5c9aa9a03
4,Data Analyst/Modeller x 4,162000.0,Hays Information Technology,Canberra ACT,Information Technology (IT),IT Management & Senior Leadership,"['API', 'DATA ANALYST', 'DATA ANALYTICS', 'DATA WAREHOUSING', 'MANAGEMENT', 'SQL', 'TRANSLATING']",https://www.careerone.com.au/jobview/data-analystmodeller-x-4/89588972-2096-4eec-8d68-d07c4b27d057
5,Data Entry | Temporary,52500.0,Page Personnel Office Support,Sydney NSW,Administration & Office Support,Data Entry,"['COMMUNICATION', 'MICROSOFT WORD']",https://www.careerone.com.au/jobview/data-entry-temporary/6a54c3e7-4627-4aee-8aa6-94338a479272
6,Data Administrator,60000.0,Kelly Services,Perth WA,Administration & Office Support,Administration Assistants,['ACCURATE DATA ENTRY'],https://www.careerone.com.au/jobview/data-administrator/5910fcc3-3db7-4470-a5c9-4ff589ec4955
7,Business Development Director | Data Centre & Cloud Migration,192500.0,Sales HQ,Sydney NSW,Sales,Sales Manager/Director & Senior Leadership,"['B2B SALES', 'BUSINESS DEVELOPMENT', 'LEADERSHIP', 'SALES']",https://www.careerone.com.au/jobview/business-development-director-data-centre-cloud-migration/bfae6128-8c88-4564-b0be-399c977ec6b4
8,Platform Engineer - Data,101000.0,s2m Digital,Mascot NSW 2020,Information Technology (IT),Software Engineering,"['AWS', 'DATA WAREHOUSING', 'ETL', 'TEAM BUILDING']",https://www.careerone.com.au/jobview/platform-engineer-data/b1bf0c59-ef8c-44c7-9dec-ebc493a7ed1b
9,Data Coordinator,60000.0,Hays Office Support,East Ryde NSW 2113,Administration & Office Support,Administration Assistants,"['MICROSOFT EXCEL', 'MICROSOFT OUTLOOK', 'SELF MOTIVATED']",https://www.careerone.com.au/jobview/data-coordinator/89269682-43e2-4a38-9328-c99b8efd8b8e
