MEASURE,Measure,REGION,Region,INDEX,Index,TSEST,Adjustment Type,FREQUENCY,Frequency,TIME,Time,Value,Flag Codes,Flags
1,Index Numbers,1,Sydney,10001,All groups CPI,10,Original,Q,Quarterly,2009-Q1,Mar-09,92.5,,
1,Index Numbers,1,Sydney,10001,All groups CPI,10,Original,Q,Quarterly,2009-Q2,Jun-09,92.9,,
1,Index Numbers,1,Sydney,10001,All groups CPI,10,Original,Q,Quarterly,2009-Q3,Sep-09,93.9,,
1,Index Numbers,1,Sydney,10001,All groups CPI,10,Original,Q,Quarterly,2009-Q4,Dec-09,94.4,,
1,Index Numbers,1,Sydney,10001,All groups CPI,10,Original,Q,Quarterly,2010-Q1,Mar-10,95.2,,
1,Index Numbers,1,Sydney,10001,All groups CPI,10,Original,Q,Quarterly,2010-Q2,Jun-10,95.6,,
1,Index Numbers,1,Sydney,10001,All groups CPI,10,Original,Q,Quarterly,2010-Q3,Sep-10,96.3,,
1,Index Numbers,1,Sydney,10001,All groups CPI,10,Original,Q,Quarterly,2010-Q4,Dec-10,96.7,,
1,Index Numbers,1,Sydney,10001,All groups CPI,10,Original,Q,Quarterly,2011-Q1,Mar-11,98.2,,
1,Index Numbers,1,Sydney,10001,All groups CPI,10,Original,Q,Quarterly,2011-Q2,Jun-11,99.2,,
1,Index Numbers,1,Sydney,10001,All groups CPI,10,Original,Q,Quarterly,2011-Q3,Sep-11,99.9,,
1,Index Numbers,1,Sydney,10001,All groups CPI,10,Original,Q,Quarterly,2011-Q4,Dec-11,99.8,,
1,Index Numbers,1,Sydney,10001,All groups CPI,10,Original,Q,Quarterly,2012-Q1,Mar-12,99.9,,
1,Index Numbers,1,Sydney,10001,All groups CPI,10,Original,Q,Quarterly,2012-Q2,Jun-12,100.5,,
1,Index Numbers,1,Sydney,10001,All groups CPI,10,Original,Q,Quarterly,2012-Q3,Sep-12,102.2,,
1,Index Numbers,1,Sydney,10001,All groups CPI,10,Original,Q,Quarterly,2012-Q4,Dec-12,102.3,,
1,Index Numbers,1,Sydney,10001,All groups CPI,10,Original,Q,Quarterly,2013-Q1,Mar-13,102.7,,
1,Index Numbers,1,Sydney,10001,All groups CPI,10,Original,Q,Quarterly,2013-Q2,Jun-13,103.1,,
1,Index Numbers,1,Sydney,10001,All groups CPI,10,Original,Q,Quarterly,2013-Q3,Sep-13,104.3,,
1,Index Numbers,1,Sydney,10001,All groups CPI,10,Original,Q,Quarterly,2013-Q4,Dec-13,105,,
1,Index Numbers,1,Sydney,10001,All groups CPI,10,Original,Q,Quarterly,2014-Q1,Mar-14,105.6,,
1,Index Numbers,1,Sydney,10001,All groups CPI,10,Original,Q,Quarterly,2014-Q2,Jun-14,106,,
1,Index Numbers,1,Sydney,10001,All groups CPI,10,Original,Q,Quarterly,2014-Q3,Sep-14,106.6,,
1,Index Numbers,1,Sydney,10001,All groups CPI,10,Original,Q,Quarterly,2014-Q4,Dec-14,106.8,,
1,Index Numbers,1,Sydney,10001,All groups CPI,10,Original,Q,Quarterly,2015-Q1,Mar-15,107.3,,
1,Index Numbers,1,Sydney,10001,All groups CPI,10,Original,Q,Quarterly,2015-Q2,Jun-15,108.3,,
1,Index Numbers,1,Sydney,10001,All groups CPI,10,Original,Q,Quarterly,2015-Q3,Sep-15,108.6,,
1,Index Numbers,1,Sydney,10001,All groups CPI,10,Original,Q,Quarterly,2015-Q4,Dec-15,108.9,,
1,Index Numbers,1,Sydney,10001,All groups CPI,10,Original,Q,Quarterly,2016-Q1,Mar-16,108.7,,
1,Index Numbers,1,Sydney,10001,All groups CPI,10,Original,Q,Quarterly,2016-Q2,Jun-16,109.3,,
1,Index Numbers,1,Sydney,10001,All groups CPI,10,Original,Q,Quarterly,2016-Q3,Sep-16,110.4,,
1,Index Numbers,1,Sydney,10001,All groups CPI,10,Original,Q,Quarterly,2016-Q4,Dec-16,110.9,,
1,Index Numbers,1,Sydney,10001,All groups CPI,10,Original,Q,Quarterly,2017-Q1,Mar-17,111.3,,
