MEASURE,Measure,PROP_TYPE,Property type,ASGS_2011,Region,FREQUENCY,Frequency,TIME,Time,Value,Flag Codes,Flags
3,Percentage change from corresponding quarter of the previous year,3,Residential property,2GMEL,Greater Melbourne,Q,Quarterly,2009-Q1,Mar-09,-3.7,,
3,Percentage change from corresponding quarter of the previous year,3,Residential property,2GMEL,Greater Melbourne,Q,Quarterly,2009-Q2,Jun-09,1.6,,
3,Percentage change from corresponding quarter of the previous year,3,Residential property,2GMEL,Greater Melbourne,Q,Quarterly,2009-Q3,Sep-09,11.4,,
3,Percentage change from corresponding quarter of the previous year,3,Residential property,2GMEL,Greater Melbourne,Q,Quarterly,2009-Q4,Dec-09,19.8,,
3,Percentage change from corresponding quarter of the previous year,3,Residential property,2GMEL,Greater Melbourne,Q,Quarterly,2010-Q1,Mar-10,25.2,,
3,Percentage change from corresponding quarter of the previous year,3,Residential property,2GMEL,Greater Melbourne,Q,Quarterly,2010-Q2,Jun-10,22.2,,
3,Percentage change from corresponding quarter of the previous year,3,Residential property,2GMEL,Greater Melbourne,Q,Quarterly,2010-Q3,Sep-10,12.8,,
3,Percentage change from corresponding quarter of the previous year,3,Residential property,2GMEL,Greater Melbourne,Q,Quarterly,2010-Q4,Dec-10,7.2,,
3,Percentage change from corresponding quarter of the previous year,3,Residential property,2GMEL,Greater Melbourne,Q,Quarterly,2011-Q1,Mar-11,1.4,,
3,Percentage change from corresponding quarter of the previous year,3,Residential property,2GMEL,Greater Melbourne,Q,Quarterly,2011-Q2,Jun-11,-2.5,,
3,Percentage change from corresponding quarter of the previous year,3,Residential property,2GMEL,Greater Melbourne,Q,Quarterly,2011-Q3,Sep-11,-2.9,,
3,Percentage change from corresponding quarter of the previous year,3,Residential property,2GMEL,Greater Melbourne,Q,Quarterly,2011-Q4,Dec-11,-5.4,,
3,Percentage change from corresponding quarter of the previous year,3,Residential property,2GMEL,Greater Melbourne,Q,Quarterly,2012-Q1,Mar-12,-5.1,,
3,Percentage change from corresponding quarter of the previous year,3,Residential property,2GMEL,Greater Melbourne,Q,Quarterly,2012-Q2,Jun-12,-4.1,,
3,Percentage change from corresponding quarter of the previous year,3,Residential property,2GMEL,Greater Melbourne,Q,Quarterly,2012-Q3,Sep-12,-2.7,,
3,Percentage change from corresponding quarter of the previous year,3,Residential property,2GMEL,Greater Melbourne,Q,Quarterly,2012-Q4,Dec-12,0.4,,
3,Percentage change from corresponding quarter of the previous year,3,Residential property,2GMEL,Greater Melbourne,Q,Quarterly,2013-Q1,Mar-13,1.4,,
3,Percentage change from corresponding quarter of the previous year,3,Residential property,2GMEL,Greater Melbourne,Q,Quarterly,2013-Q2,Jun-13,3.4,,
3,Percentage change from corresponding quarter of the previous year,3,Residential property,2GMEL,Greater Melbourne,Q,Quarterly,2013-Q3,Sep-13,7.4,,
3,Percentage change from corresponding quarter of the previous year,3,Residential property,2GMEL,Greater Melbourne,Q,Quarterly,2013-Q4,Dec-13,9.3,,
3,Percentage change from corresponding quarter of the previous year,3,Residential property,2GMEL,Greater Melbourne,Q,Quarterly,2014-Q1,Mar-14,9.8,,
3,Percentage change from corresponding quarter of the previous year,3,Residential property,2GMEL,Greater Melbourne,Q,Quarterly,2014-Q2,Jun-14,9.2,,
3,Percentage change from corresponding quarter of the previous year,3,Residential property,2GMEL,Greater Melbourne,Q,Quarterly,2014-Q3,Sep-14,6.8,,
3,Percentage change from corresponding quarter of the previous year,3,Residential property,2GMEL,Greater Melbourne,Q,Quarterly,2014-Q4,Dec-14,5,,
3,Percentage change from corresponding quarter of the previous year,3,Residential property,2GMEL,Greater Melbourne,Q,Quarterly,2015-Q1,Mar-15,4.7,,
3,Percentage change from corresponding quarter of the previous year,3,Residential property,2GMEL,Greater Melbourne,Q,Quarterly,2015-Q2,Jun-15,7.8,,
3,Percentage change from corresponding quarter of the previous year,3,Residential property,2GMEL,Greater Melbourne,Q,Quarterly,2015-Q3,Sep-15,9.9,,
3,Percentage change from corresponding quarter of the previous year,3,Residential property,2GMEL,Greater Melbourne,Q,Quarterly,2015-Q4,Dec-15,9.6,,
3,Percentage change from corresponding quarter of the previous year,3,Residential property,2GMEL,Greater Melbourne,Q,Quarterly,2016-Q1,Mar-16,9.8,,
3,Percentage change from corresponding quarter of the previous year,3,Residential property,2GMEL,Greater Melbourne,Q,Quarterly,2016-Q2,Jun-16,8.2,,
3,Percentage change from corresponding quarter of the previous year,3,Residential property,2GMEL,Greater Melbourne,Q,Quarterly,2016-Q3,Sep-16,6.9,,
3,Percentage change from corresponding quarter of the previous year,3,Residential property,2GMEL,Greater Melbourne,Q,Quarterly,2016-Q4,Dec-16,10.8,,
3,Percentage change from corresponding quarter of the previous year,3,Residential property,2GMEL,Greater Melbourne,Q,Quarterly,2017-Q1,Mar-17,13.4,,
3,Percentage change from corresponding quarter of the previous year,3,Residential property,2GMEL,Greater Melbourne,Q,Quarterly,2017-Q2,Jun-17,13.8,,
3,Percentage change from corresponding quarter of the previous year,3,Residential property,2GMEL,Greater Melbourne,Q,Quarterly,2017-Q3,Sep-17,13.2,,
3,Percentage change from corresponding quarter of the previous year,3,Residential property,2GMEL,Greater Melbourne,Q,Quarterly,2017-Q4,Dec-17,10.2,,
