MEASURE,Measure,INDEX,Index type,SECTOR,Sector,INDUSTRY,Industry,REGION,Region,TSEST,Adjustment type,FREQUENCY,Frequency,TIME,Time,Value,Flag Codes,Flags
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,1,New South Wales,10,Original,Q,Quarterly,2009-Q1,Mar-09,100.4,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,1,New South Wales,10,Original,Q,Quarterly,2009-Q2,Jun-09,101,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,1,New South Wales,10,Original,Q,Quarterly,2009-Q3,Sep-09,101.8,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,1,New South Wales,10,Original,Q,Quarterly,2009-Q4,Dec-09,102.2,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,1,New South Wales,10,Original,Q,Quarterly,2010-Q1,Mar-10,103.2,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,1,New South Wales,10,Original,Q,Quarterly,2010-Q2,Jun-10,103.9,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,1,New South Wales,10,Original,Q,Quarterly,2010-Q3,Sep-10,105.3,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,1,New South Wales,10,Original,Q,Quarterly,2010-Q4,Dec-10,106.1,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,1,New South Wales,10,Original,Q,Quarterly,2011-Q1,Mar-11,107.2,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,1,New South Wales,10,Original,Q,Quarterly,2011-Q2,Jun-11,107.8,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,1,New South Wales,10,Original,Q,Quarterly,2011-Q3,Sep-11,109.3,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,1,New South Wales,10,Original,Q,Quarterly,2011-Q4,Dec-11,110.2,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,1,New South Wales,10,Original,Q,Quarterly,2012-Q1,Mar-12,111.1,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,1,New South Wales,10,Original,Q,Quarterly,2012-Q2,Jun-12,111.8,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,1,New South Wales,10,Original,Q,Quarterly,2012-Q3,Sep-12,113.1,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,1,New South Wales,10,Original,Q,Quarterly,2012-Q4,Dec-12,113.7,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,1,New South Wales,10,Original,Q,Quarterly,2013-Q1,Mar-13,114.3,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,1,New South Wales,10,Original,Q,Quarterly,2013-Q2,Jun-13,114.9,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,1,New South Wales,10,Original,Q,Quarterly,2013-Q3,Sep-13,115.9,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,1,New South Wales,10,Original,Q,Quarterly,2013-Q4,Dec-13,116.5,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,1,New South Wales,10,Original,Q,Quarterly,2014-Q1,Mar-14,117.2,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,1,New South Wales,10,Original,Q,Quarterly,2014-Q2,Jun-14,117.7,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,1,New South Wales,10,Original,Q,Quarterly,2014-Q3,Sep-14,118.7,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,1,New South Wales,10,Original,Q,Quarterly,2014-Q4,Dec-14,119.2,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,1,New South Wales,10,Original,Q,Quarterly,2015-Q1,Mar-15,119.7,,
